ANO,CONTO,GÊNERO,ORDEM,AUTOR,CÓDIGO PT,COM OU SEM TRADUÇÃO,Brazilian Tales,A Chapter of Hats,The Alienist,The Alienist and other stories,Midnight Mass & Other Stories,Ex-Cathedra,Miss Dolar,Trio in A-Minor,The Collected Stories of Machado de Assis,26 Stories,The Devil's Church and Other Stories,The Devil’s Church
1871,Aires e Vergueiro (1871),CO,36,MA,CO036MA,,,,,,,,,,,,,
1871,Almas Agradecidas (1871),CO,37,MA,CO037MA,,,,,,,,,,,,,
1871,Mariana (1871),CO,38,MA,CO038MA,Yes,,,,,,,,,CO038CL10,,CO038CL03,
1871,O Caminho de Damasco (1871),CO,39,MA,CO039MA,,,,,,,,,,,,,
1872,A Parasita Azul (1872),CO,40,MA,CO040MA,Yes,,,,,,,CO040CL09,,CO040CL10,,,
1872,Caseiras Em Vão (1872),CO,41,MA,CO041MA,,,,,,,,,,,,,
1872,Quem Não Quer Ser Lobo... (1872),CO,42,MA,CO042MA,,,,,,,,,,,,,
1872,Ruy de Leão (1872),CO,43,MA,CO043MA,,,,,,,,,,,,,
1872,Uma Águia Sem Asas (1872),CO,44,MA,CO044MA,,,,,,,,,,,,,
1872,Uma Loureira (1872),CO,45,MA,CO045MA,,,,,,,,,,,,,
1873,A Menina Dos Olhos Pardos (1873),CO,46,MA,CO046MA,,,,,,,,,,,,,
1873,As Bodas de Luís Duarte (1873),CO,47,MA,CO047MA,Yes,,,,,,,,,CO047CL10,CO047CL12,,
1873,Decadência de Dois Grandes Homens (1873),CO,48,MA,CO048MA,,,,,,,,,,,,,
1873,Ernesto de Tal (1873),CO,49,MA,CO049MA,Yes,,,,,,,,,CO049CL10,,,
1873,Nem Uma Nem Outra (1873),CO,50,MA,CO050MA,,,,,,,,,,,,,
1873,O Relógio de Ouro (1873),CO,51,MA,CO051MA,Yes,,,,,CO051CL08,,CO051CL09,,CO051CL10,,,
1873,Ponto de Vista (1873),CO,52,MA,CO052MA,Yes,,,,,CO052CL08,,,,CO052CL10,,,
1873,Qual dos Dois (1873),CO,53,MA,CO053MA,,,,,,,,,,,,,
1873,Quem Conta um Conto... (1873),CO,54,MA,CO054MA,,,,,,,,,,,,,
1873,Tempo de Crise (1873),CO,55,MA,CO055MA,,,,,,,,,,,,,
1873,Um Homem Superior (1873),CO,56,MA,CO056MA,,,,,,,,,,,,,
1874,Muitos Anos Depois (1874),CO,57,MA,CO057MA,,,,,,,,,,,,,
1874,Os Óculos de Pedro Antão (1874),CO,58,MA,CO058MA,,,,,,,,,,,,,
1874,Um Dia de Entrudo (1874),CO,59,MA,CO059MA,,,,,,,,,,,,,
1875,A Chinela Turca (1875),CO,60,MA,CO060MA,Yes,,,,,,,,,CO060CL10,,,
1875,A Mágoa do Infeliz Cosme (1875),CO,61,MA,CO061MA,,,,,,,,,,,,,
1875,A Última Receita (1875),CO,62,MA,CO062MA,,,,,,,,,,,,,
1875,Antes Que Cases... (1875),CO,63,MA,CO063MA,,,,,,,,,,,,,
1875,Brincar Com Fogo (1875),CO,64,MA,CO064MA,,,,,,,,,,,,,
1875,Miloca (1875),CO,65,MA,CO065MA,,,,,,,,,,,,,
1875,O Sainete (1875),CO,66,MA,CO066MA,,,,,,,,,,,,,
1875,Onze Anos Depois (1875),CO,67,MA,CO067MA,,,,,,,,,,,,,
